Forage: 17, 14, 8, 7, 0, 0, 1, 3, 4, 3, 4, 3
Forage: 21, 14, 18, 17, 15, 18, 16, 12, 17, 9, 15, 13
Forage: 17, 20, 20, 15, 16, 16, 15, 14, 13, 15, 9, 14
Forage: 15, 18, 17, 17, 18, 18, 14, 15, 16, 12, 7, 17
Forage: 16, 24, 17, 20, 16, 14, 18, 13, 14, 12, 9, 11
Forage: 14, 17, 23, 15, 15, 16, 15, 14, 9, 14, 13, 10
Forage: 18, 17, 21, 14, 16, 17, 16, 17, 14, 16, 13, 10
Forage: 18, 17, 18, 17, 18, 15, 6, 7, 2, 2, 1, 2
Forage: 20, 19, 18, 17, 19, 13, 13, 15, 13, 13, 13, 14
Forage: 15, 20, 17, 18, 16, 17, 11, 14, 18, 13, 13, 12
Forage: 15, 19, 17, 16, 16, 15, 19, 10, 15, 12, 11, 12
Forage: 16, 18, 23, 15, 16, 17, 11, 19, 15, 11, 14, 9
Forage: 18, 19, 17, 17, 14, 18, 15, 15, 15, 12, 14, 12
Forage: 15, 20, 16, 18, 17, 17, 12, 14, 14, 17, 14, 10
Forage: 20, 19, 19, 17, 16, 17, 15, 12, 15, 13, 14, 13
Forage: 15, 19, 19, 13, 16, 19, 14, 13, 16, 16, 13, 12
Forage: 15, 22, 17, 17, 15, 19, 17, 14, 16, 14, 14, 8
Forage: 15, 18, 18, 20, 17, 16, 13, 12, 13, 15, 15, 8
Forage: 16, 17, 15, 19, 15, 16, 19, 12, 10, 16, 10, 11
Forage: 16, 20, 18, 18, 13, 15, 16, 14, 14, 10, 13, 14
Forage: 14, 17, 20, 17, 14, 18, 17, 10, 14, 11, 16, 9
Forage: 16, 17, 21, 16, 15, 16, 16, 11, 16, 14, 13, 9
Forage: 15, 17, 18, 16, 16, 16, 15, 17, 12, 15, 17, 11
Forage: 16, 23, 20, 14, 13, 19, 16, 17, 11, 13, 13, 13
Forage: 17, 19, 15, 20, 17, 15, 11, 17, 10, 15, 14, 12
Forage: 15, 21, 15, 19, 19, 19, 13, 14, 16, 13, 13, 11
Forage: 13, 17, 23, 18, 17, 16, 15, 17, 12, 15, 9, 12
Forage: 11, 18, 18, 18, 19, 15, 18, 12, 12, 16, 14, 10
Forage: 20, 20, 14, 16, 14, 20, 14, 14, 14, 14, 18, 9
Forage: 13, 18, 18, 20, 14, 18, 15, 13, 15, 19, 13, 11
Forage: 16, 20, 24, 13, 13, 19, 13, 15, 14, 13, 13, 13
Forage: 17, 19, 15, 18, 16, 14, 15, 12, 15, 13, 14, 10
Forage: 16, 14, 16, 17, 16, 14, 13, 14, 15, 11, 14, 14
Forage: 16, 27, 13, 16, 17, 16, 18, 12, 14, 11, 15, 10
Forage: 11, 20, 19, 17, 15, 18, 15, 17, 16, 16, 10, 12
Forage: 18, 19, 19, 16, 17, 15, 12, 16, 14, 12, 13, 9
Forage: 15, 21, 16, 18, 17, 13, 17, 17, 11, 16, 14, 13
Forage: 18, 17, 20, 17, 14, 18, 14, 18, 11, 16, 13, 11
Forage: 16, 17, 18, 20, 13, 19, 14, 12, 14, 12, 17, 10
Forage: 14, 21, 15, 19, 18, 12, 14, 16, 12, 16, 13, 10
Forage: 15, 16, 19, 19, 18, 13, 14, 13, 14, 9, 12, 12
Forage: 13, 19, 19, 22, 17, 14, 14, 14, 14, 13, 13, 12
Forage: 16, 14, 19, 19, 14, 14, 15, 12, 16, 12, 12, 13
Forage: 16, 24, 18, 17, 17, 13, 16, 10, 15, 18, 9, 12
Forage: 17, 18, 13, 22, 18, 16, 14, 13, 13, 17, 13, 13
Forage: 15, 18, 18, 15, 18, 16, 16, 16, 11, 17, 9, 13
Forage: 17, 21, 14, 13, 16, 19, 12, 13, 15, 16, 14, 14
Forage: 20, 16, 20, 18, 14, 16, 14, 19, 13, 17, 12, 13
Forage: 19, 18, 20, 17, 11, 15, 17, 13, 13, 13, 17, 11
Forage: 17, 19, 18, 17, 15, 17, 12, 14, 17, 15, 12, 12
Forage: 14, 17, 17, 20, 17, 15, 14, 14, 10, 13, 17, 10
Forage: 13, 16, 20, 16, 21, 19, 14, 19, 10, 13, 14, 9
Forage: 15, 21, 17, 16, 16, 15, 18, 15, 14, 13, 8, 15
Forage: 22, 17, 14, 15, 21, 11, 18, 14, 15, 13, 12, 10
Forage: 19, 24, 17, 20, 15, 16, 16, 12, 14, 14, 11, 10
Forage: 16, 20, 18, 17, 22, 16, 14, 16, 11, 12, 12, 7
Forage: 20, 17, 17, 20, 16, 19, 13, 18, 13, 15, 11, 13
Forage: 17, 20, 14, 17, 17, 14, 16, 14, 15, 14, 13, 14
Forage: 16, 16, 14, 20, 17, 14, 16, 12, 17, 12, 13, 15
Forage: 14, 15, 18, 21, 18, 11, 18, 14, 14, 12, 15, 11
Forage: 20, 18, 17, 15, 16, 17, 18, 15, 13, 16, 13, 12
Forage: 15, 19, 16, 19, 18, 15, 17, 12, 13, 14, 10, 13
Forage: 17, 18, 16, 17, 12, 19, 14, 14, 18, 11, 11, 11
Forage: 19, 22, 19, 18, 15, 18, 15, 16, 13, 16, 11, 10
Forage: 16, 14, 18, 17, 15, 16, 14, 16, 13, 15, 7, 14
Forage: 16, 22, 15, 17, 18, 12, 19, 15, 12, 11, 15, 11
Forage: 15, 20, 16, 17, 14, 19, 19, 12, 15, 15, 8, 12
Forage: 15, 21, 16, 17, 19, 16, 14, 16, 15, 14, 13, 9
Forage: 18, 21, 20, 15, 15, 18, 15, 13, 15, 13, 10, 11
Forage: 17, 19, 19, 18, 17, 18, 14, 15, 14, 15, 14, 13
Forage: 15, 16, 14, 17, 17, 15, 16, 18, 10, 16, 14, 12
Forage: 20, 21, 18, 18, 16, 17, 14, 12, 15, 13, 12, 13
Forage: 18, 17, 20, 19, 14, 18, 11, 18, 15, 11, 12, 14
Forage: 15, 19, 19, 17, 20, 11, 16, 14, 13, 15, 9, 14
Forage: 19, 18, 17, 16, 18, 12, 14, 15, 14, 14, 12, 7
Forage: 12, 14, 21, 16, 18, 17, 14, 16, 14, 16, 10, 12
Forage: 17, 16, 17, 15, 14, 17, 15, 13, 14, 12, 11, 14
Forage: 17, 14, 18, 19, 17, 19, 16, 16, 12, 12, 13, 11
Forage: 16, 18, 15, 18, 17, 15, 19, 15, 15, 11, 12, 13
Forage: 17, 18, 21, 16, 14, 19, 16, 15, 12, 14, 13, 12
Forage: 18, 17, 22, 16, 16, 14, 16, 15, 9, 16, 12, 16
Forage: 13, 21, 17, 19, 17, 13, 17, 14, 15, 15, 9, 16
Forage: 11, 23, 18, 18, 15, 17, 14, 18, 13, 12, 14, 12
Forage: 17, 17, 18, 15, 18, 16, 19, 13, 13, 15, 15, 8
Forage: 16, 17, 18, 19, 20, 12, 14, 13, 14, 13, 15, 12
Forage: 15, 21, 15, 17, 16, 17, 19, 10, 14, 12, 14, 10
Forage: 13, 18, 19, 20, 18, 16, 14, 13, 15, 12, 12, 11
Forage: 15, 19, 15, 19, 15, 21, 17, 13, 14, 16, 9, 14
Forage: 19, 19, 17, 18, 18, 16, 16, 15, 14, 13, 13, 13
Forage: 19, 16, 19, 17, 17, 18, 15, 14, 16, 12, 13, 13
Forage: 19, 21, 16, 19, 16, 14, 16, 12, 13, 13, 12, 12
Forage: 20, 20, 14, 18, 18, 16, 17, 17, 15, 12, 12, 10
Forage: 17, 17, 20, 16, 20, 19, 15, 9, 15, 14, 9, 14
Forage: 13, 18, 16, 20, 17, 16, 14, 14, 15, 14, 11, 12
Forage: 14, 14, 17, 15, 18, 14, 15, 14, 14, 12, 16, 10
Forage: 22, 17, 18, 18, 18, 15, 18, 11, 13, 18, 11, 9
Forage: 17, 15, 16, 22, 20, 12, 16, 15, 15, 13, 10, 11
Forage: 16, 18, 18, 18, 16, 17, 13, 12, 16, 12, 16, 9
Forage: 14, 19, 19, 19, 14, 13, 19, 15, 13, 13, 16, 10
Forage: 17, 20, 16, 17, 17, 19, 14, 15, 10, 16, 12, 10
Forage: 17, 18, 15, 16, 18, 13, 15, 13, 16, 14, 15, 12
Forage: 17, 20, 20, 16, 18, 15, 17, 15, 12, 10, 16, 11
Forage: 18, 17, 21, 16, 16, 18, 17, 17, 12, 10, 15, 11
Forage: 17, 20, 16, 18, 18, 14, 17, 11, 15, 13, 14, 15
Forage: 15, 19, 19, 15, 20, 14, 18, 14, 10, 14, 10, 9
Forage: 17, 21, 20, 19, 16, 14, 16, 13, 16, 12, 14, 12
Forage: 13, 20, 18, 19, 13, 18, 15, 16, 10, 16, 11, 12
Forage: 15, 19, 23, 14, 15, 17, 18, 15, 13, 13, 14, 8
Forage: 20, 22, 18, 18, 19, 15, 17, 15, 13, 14, 14, 11
Forage: 18, 21, 16, 16, 18, 17, 17, 11, 13, 15, 16, 11
Forage: 18, 19, 18, 19, 17, 11, 17, 15, 15, 10, 15, 11
Forage: 18, 22, 20, 15, 21, 16, 15, 16, 10, 17, 12, 10
Forage: 16, 23, 18, 21, 15, 18, 14, 15, 14, 14, 14, 11
Forage: 20, 17, 19, 18, 18, 13, 17, 17, 15, 10, 16, 11
Forage: 19, 23, 21, 19, 15, 10, 16, 16, 14, 13, 11, 15
Forage: 17, 21, 16, 16, 14, 18, 17, 12, 15, 13, 12, 12
Forage: 18, 21, 16, 15, 16, 14, 18, 18, 12, 12, 14, 10
Forage: 15, 17, 15, 19, 13, 15, 14, 17, 13, 13, 15, 10
Forage: 18, 20, 20, 12, 15, 17, 15, 14, 15, 13, 12, 13
Forage: 15, 21, 19, 19, 16, 13, 18, 17, 13, 13, 9, 10
Forage: 17, 18, 15, 19, 18, 15, 16, 12, 12, 13, 14, 8
Forage: 16, 20, 16, 17, 18, 14, 15, 13, 11, 16, 11, 11
Forage: 17, 17, 15, 20, 15, 16, 16, 12, 17, 16, 12, 13
Forage: 14, 21, 18, 12, 22, 11, 16, 14, 15, 14, 14, 10
Forage: 18, 15, 20, 17, 14, 10, 20, 18, 12, 16, 13, 10
Forage: 14, 16, 18, 18, 16, 16, 16, 15, 12, 14, 14, 10
Forage: 20, 18, 18, 17, 17, 14, 18, 12, 17, 14, 9, 12
Forage: 18, 20, 19, 15, 15, 18, 17, 15, 13, 15, 11, 10
Forage: 12, 20, 14, 20, 14, 16, 15, 14, 14, 16, 11, 12
Forage: 17, 19, 18, 18, 20, 17, 14, 15, 15, 11, 12, 13
Forage: 15, 20, 20, 18, 17, 16, 20, 12, 14, 10, 12, 9
Forage: 17, 14, 17, 21, 19, 13, 17, 11, 16, 10, 11, 14
Forage: 15, 21, 14, 16, 17, 18, 10, 15, 12, 13, 12, 11
Forage: 20, 23, 18, 17, 18, 11, 13, 17, 13, 10, 11, 12
Forage: 22, 17, 19, 16, 15, 19, 14, 13, 14, 11, 13, 10
Forage: 16, 18, 14, 15, 18, 17, 16, 17, 13, 12, 13, 12
Forage: 17, 19, 15, 18, 16, 17, 16, 16, 12, 16, 10, 12
Forage: 20, 20, 18, 14, 18, 12, 18, 10, 17, 12, 13, 14
Forage: 15, 18, 17, 17, 18, 14, 13, 13, 15, 12, 14, 7
Forage: 15, 11, 14, 15, 19, 15, 15, 13, 15, 15, 16, 12
Forage: 17, 20, 16, 15, 18, 15, 10, 14, 12, 8, 12, 14
Forage: 15, 19, 21, 14, 14, 17, 10, 17, 10, 15, 13, 13
